Quantity,Pack Size,Item,Rate,Amount,Rate Category,Pack Size Category
2,12/2.65,Heilemann Dark Chocolate Cat Tongues,87.00,174.00,Medium,Medium Pack
3,18/14.1,Eichetti Eiskonfekt Ice Confectionery Cups Filled,112.50,337.50,High,Medium Pack
2,20/6.17,Hermann The German® Chocolate Rings With,70.00,140.00,Medium,Medium Pack
12,48/.7 OZ,Abtey Poire Williams Brandy Filled Dark,48.00,576.00,Low,Large Pack
3,72/.35 OZ,Abtey Assorted Dark Chocolate Liqueur Fruits,50.40,151.20,Medium,Bulk Pack
1,12/5.46,"Abtey ""So French"" Dark Chocolate Marc de",123.00,123.00,High,Medium Pack
2,24/3.8 OZ,Abtey L'Original Chocolate Liqueur-Filled Bottles,140.40,280.80,High,Medium Pack
2,24/3.8 OZ,"Abtey Royal des Lys Chocolate Brandy Filled Bottles (Cherry, Pear, Raspberry, Plum) Cardboard Crate Abtey Royal des Lys Chocolate Brandy Filled Bottles (Cherry, Pear, Raspberry, Plum) Cardboard Crate",140.40,280.80,High,Medium Pack
2,8/10.2 OZ,Abtey Advent Calendar with Dark Chocolate,164.00,328.00,High,Small Pack
1,19/3.5 OZ,Abtey Poire Williams Brandy Filled Dark,139.65,139.65,High,Medium Pack
1,9/5.47 OZ,Anthon Berg® Dark Chocolate Single Malt,176.85,176.85,High,Small Pack
1,16/1.5 OZ,Nordic Sweets® Dark Chocolate Covered Salty Licorice Sticks with Crushed Peppermint Nordic Sweets® Dark Chocolate Covered Salty Licorice Sticks with Crushed Peppermint,60.00,60.00,Medium,Medium Pack
3,12/5 OZ,Nordic Sweets® Swedish Forest Berries,39.00,117.00,Low,Medium Pack
3,12/5 OZ,Nordic Sweets® Soft Raspberries Resealable,39.00,117.00,Low,Medium Pack
3,12/5 OZ,Nordic Sweets® Polka Mints (Peppermint) Resealable Peggable Pouch Nordic Sweets® Polka Mints (Peppermint) Resealable Peggable Pouch,39.00,117.00,Low,Medium Pack
3,12/5 OZ,Nordic Sweets® Salty Licorice Salmiac Heksehyl,39.00,117.00,Low,Medium Pack
3,12/5 OZ,Nordic Sweets® Sweet Black Licorice Resealable,39.00,117.00,Low,Medium Pack
3,12/5 OZ,Nordic Sweets® Strawberry Candy Coated,39.00,117.00,Low,Medium Pack
1,12/5.29,Hermann The German® Bavarian Herbal Assortment Candy Hermann The German Bavarian Herbal Assortment Candy,35.40,35.40,Low,Medium Pack
2,30/5.29,Hermann The German® Marzipan Potatoes Bag,56.25,112.50,Medium,Large Pack
2,12/2.46,Hermann The German® Marzipan Bavarian Pig,69.00,138.00,Medium,Medium Pack
2,25/3.52,Hermann the German® 10/pc Marzipan Fruit,158.75,317.50,High,Large Pack
2,12/7.05,Carstens Chocolate Covered Lübecker Marzipan,102.00,204.00,High,Medium Pack
2,7/5.29 OZ,Carstens Christmas Mix Chocolate Covered,45.50,91.00,Low,Small Pack
1,12/3.5 OZ,Carstens Chocolate Covered Lübecker Marzipan Cat Tongues Carstens Chocolate Covered Lübecker Marzipan Cat Tongues,80.40,80.40,Medium,Medium Pack
3,14/4.4 OZ,Carstens Chocolate Covered Lübecker Marzipan Bar Carstens Chocolate Covered Lubecker Marzipan Bar,56.00,168.00,Medium,Medium Pack
3,12/7.1 OZ,Carstens Chocolate Covered Lübecker Marzipan,72.00,216.00,Medium,Medium Pack
2,10/4.9 OZ,Carstens Dark Chocolate Lübecker Marzipan,39.00,78.00,Low,Small Pack
2,10/7.4 OZ,Carstens Cherry Kirsche Chocolate Covered,72.50,145.00,Medium,Small Pack
2,10/7.4 OZ,Carstens Orange Chocolate Covered Marzipan,72.50,145.00,Medium,Small Pack
2,10/7.4 OZ,Carstens Plum in Madeira Chocolate Covered,72.50,145.00,Medium,Small Pack
1,28/2.6 OZ,Anthon Berg® Dark Chocolate Covered,110.60,110.60,High,Large Pack
1,28/2.6 OZ,Anthon Berg® Dark Chocolate Covered,110.60,110.60,High,Large Pack
1,20/1.7 OZ,Reber® Mozart Piano Bar® Milk Chocolate,88.00,88.00,Medium,Medium Pack
1,24/7.05,Hermann The German® Orange Gingerbread,108.00,108.00,High,Medium Pack
1,24/7.05,Hermann The German® Assorted Gingerbread (Glazed Spice Cookies) Bag Hermann The German® Assorted Gingerbread (Glazed Spice Cookies) Bag,90.00,90.00,Medium,Medium Pack
1,24/7.05,Hermann The German® Choco-Pfeffernüsse,108.00,108.00,High,Medium Pack
2,24/7.05,Hermann The German® Pfeffernüsse (Glazed,90.00,180.00,Medium,Medium Pack
1,12/14.1,Hermann the German® Classic Windmill Cookies,42.00,42.00,Low,Medium Pack
2,10/10.6,Hans Freitag Noblesse Noir (Dark) Bag,59.00,118.00,Medium,Small Pack
2,12/11.6,Dutch Bakery Stroopie Syrup Wafer (Waﬄe),61.20,122.40,Medium,Medium Pack
3,18/7 OZ,Bahlsen Contessa Dark Chocolate Covered,94.50,283.50,Medium,Medium Pack
3,18/7 OZ,Bahlsen Contessa Iced Gingerbread Cakes with,94.50,283.50,Medium,Medium Pack
2,10/8.8 OZ,Bahlsen Pretzel Shaped Soft Gingerbread With,57.50,115.00,Medium,Small Pack
2,10/7.9 OZ,Bahlsen Akora Apple & Apricot Jam Filled Soft,57.50,115.00,Medium,Small Pack
