Item,Description,Pack Size,Quantity,Price Each,Amount,Price Each Product,Store Price,Online Price
3AB 204-984451,Anthon Berg Cherry In Rum,12 / 220 G,1,118.68,118.68,9.89,15.69,16.19
3BS 12-461716,Edeka Schokoladen Lebkuchen Vollmilch,14 / 500 G,1,153.86,153.86,10.99,17.39,17.89
3BS 13-461730,Edeka Schokoladen Lebkuchen Zartbitter,14 / 500 G,1,153.86,153.86,10.99,17.39,17.89
3BS 16-8959,Edeka Zimtsterne,22 / 115 G,1,120.78,120.78,5.49,8.89,9.39
3BS 22-5061,Edeka Kokos Makronen Zartbitter,15 / 250 G,1,80.85,80.85,5.39,8.69,9.19
3BS 29-460818,Edeka Edel Marzipan Stollen,6 / 1000 G,6,71.94,431.64,11.99,18.89,19.39
3BS 31-460856,Edeka Marzipan Stollen,20 / 200 G,1,63.80,63.80,3.19,5.29,5.79
3BS 33-460795,Edeka Butter Stollen Thueringer Art,4 / 1000 G,5,62.76,313.80,15.69,24.69,25.19
3BS 34-460870,Edeka Butter Stollen,10 / 500 G,2,78.90,157.80,7.89,12.59,13.09
3BS 35-460894,Edeka Butter Stollen,20 / 200 G,1,79.80,79.80,3.99,6.49,6.99
3BS 36-460917,Edeka Butter Mandel Stollen,7 / 750 G,5,90.93,454.65,12.99,20.49,20.99
3BS 37-461334,Edeka Lebkuchen Herzen ZB Ungefuellt,36 / 150 G,1,129.24,129.24,3.59,5.89,6.39
3BS 38-461310,Edeka Lebkuchen Herzen ZB Gefuellt,36 / 150 G,1,143.64,143.64,3.99,6.49,6.99
3BS 39-461297,Edeka Lebkuchen Herzen VM Gefuellt,36 / 150 G,1,143.64,143.64,3.99,6.49,6.99
3BS 40-483787,Edeka Erlesene Lebkuchenmischung,24 / 200 G,1,225.36,225.36,9.39,14.89,15.39
3CA 106-11854,Carstens Frohes Fest Weihnachtsmaenner,7 / 150 G,2,37.03,74.06,5.29,8.59,9.09
3CA 107-11881,Carstens Luebecker Marzipan Kartoffeln,8 / 125 G,3,34.32,102.96,4.29,6.99,7.49
3DQ 101-74061,Dr. Quendt Lebkuchen Konfekt,15 / 130 G,1,74.85,74.85,4.99,8.09,8.59
3DQ 102-74031,Dr. Quendt Herren Konfekt,15 / 160 G,1,74.85,74.85,4.99,8.09,8.59
3HM 102-280816,Haeberlein Metzger Feine Weiche Oblaten Lebkuchen Schokoliert,21 / 200 G,1,161.49,161.49,7.69,12.29,12.79
3L 120-70285,Lindt Baumbehang Blaetterkrokant,20 / 90 G,2,159.80,319.60,7.99,12.69,13.19
3L 121-70265,Lindt Baumbehang Nugat,20 / 101 G,1,159.80,159.80,7.99,12.69,13.19
3L 122-72947,Lindt Baumbehang Marzipan,20 / 100 G,1,159.80,159.80,7.99,12.69,13.19
